[4,4,4,4,7,25,25,26,26,28,29,29,36,37,37,37,38,55,57,62,77,77,78,82,82,88,92,92,95,95]
[7,8,19,19,26,26,26,26,29,37,38,38,47,55,57,62,67,78,88,88,89,89,92,92,95,95,95,95,95,95]
[4,4,7,8,19,24,24,26,26,29,29,36,37,37,38,38,47,55,55,57,62,62,62,77,77,78,82,92,95,95]
[3,3,4,4,4,7,8,24,25,26,37,37,38,55,55,55,55,57,57,62,67,67,77,82,88,89,92,94,95,95]
[4,4,7,7,8,19,25,25,25,26,28,28,29,37,38,57,57,67,77,77,77,82,88,92,94,95,95,95,95,95]
[3,4,4,7,7,8,19,19,24,28,29,29,29,36,36,38,38,38,47,47,55,67,77,78,89,89,92,92,94,94]
[19,19,19,24,24,25,25,26,26,28,36,36,37,37,38,38,55,55,55,55,57,62,67,77,77,82,88,94,95,95]
[8,19,24,26,26,29,29,36,37,38,38,38,38,47,55,67,67,77,77,78,82,88,89,92,92,92,92,95,95,95]
[3,4,4,4,7,8,8,8,8,19,24,25,26,28,36,36,38,47,57,57,62,67,67,77,77,77,88,88,94,95]
[3,4,4,19,24,24,26,26,28,28,29,29,29,36,36,37,38,38,38,47,47,55,57,77,77,78,82,82,88,95]
[3,4,4,8,19,19,24,25,29,29,29,38,38,47,47,57,62,78,78,82,88,88,92,94,95,95,95,95,95,95]
[4,4,7,7,8,8,24,25,26,36,36,36,37,38,38,38,38,55,55,57,57,62,67,89,89,89,92,92,92,95]
[4,4,4,7,19,19,19,25,25,26,29,29,36,36,37,37,37,38,47,57,62,62,67,82,82,89,94,94,95,95]
[3,4,4,7,7,8,19,19,19,24,25,25,26,28,37,38,47,55,55,55,62,67,67,82,88,88,89,89,95,95]
[4,4,4,8,19,19,24,25,25,25,36,36,36,37,38,38,47,47,77,77,77,82,82,82,89,89,89,92,94,95]
[3,3,4,4,8,19,19,19,25,25,26,28,29,29,37,38,38,47,47,47,55,62,77,77,78,82,82,89,95,95]
[4,4,7,7,7,8,8,19,25,26,26,28,36,38,38,38,38,47,55,55,55,57,62,78,82,88,92,92,94,95]
[3,4,4,4,7,8,19,19,19,26,28,29,36,37,37,37,38,67,67,67,78,82,88,92,92,94,95,95,95,95]
[4,4,4,7,8,8,8,19,19,19,24,24,25,26,29,29,36,38,47,47,55,57,78,78,82,92,92,95,95,95]
[4,4,4,7,7,8,19,19,19,25,25,26,28,29,29,36,38,38,47,57,57,67,67,67,77,78,82,88,89,94]
[3,3,4,4,4,4,7,7,7,8,8,8,8,19,25,25,26,29,36,38,38,38,38,38,47,47,67,89,92,95]
[4,4,7,7,24,25,26,28,28,29,29,36,37,38,38,38,57,62,77,78,78,82,88,89,92,92,94,95,95,95]
[3,3,4,4,26,28,29,37,37,38,47,47,55,57,62,62,67,67,77,78,82,82,82,89,89,92,92,94,94,95]
[3,4,7,8,8,19,19,24,25,28,28,37,37,38,38,47,55,57,57,57,57,62,77,77,82,88,89,92,95,95]
[3,3,3,4,7,24,24,24,26,29,36,37,38,38,38,47,55,62,62,77,78,82,82,89,94,94,94,95,95,95]
[3,4,4,4,4,7,7,25,26,26,28,28,36,37,38,38,38,38,47,55,57,57,67,67,67,88,89,94,95,95]
[4,4,19,19,25,28,29,29,29,36,38,38,38,38,38,47,47,55,57,57,62,67,67,77,77,82,89,92,94,94]
[4,8,19,19,25,25,29,36,36,37,37,37,47,47,47,55,55,55,55,57,62,62,67,78,78,88,92,94,94,94]
[4,8,19,19,19,19,19,24,25,28,28,28,29,37,37,38,38,38,38,47,47,62,77,88,89,92,95,95,95,95]
[3,4,4,4,7,7,7,8,8,8,19,24,26,28,36,36,55,67,78,82,88,88,88,89,92,94,94,95,95,95]
