[0,3,10,10,23,23,37,83,87,99]
[0,23,23,33,83,83,83,87,99,99]
[10,10,23,23,23,23,37,52,99,99]
[0,3,10,37,52,52,83,87,99,99]
[3,10,23,37,83,87,87,87,87,99]
[0,0,3,23,33,33,83,83,87,87]
[0,0,3,3,23,23,33,37,52,99]
[33,37,37,52,83,83,87,87,99,99]
[0,0,0,3,3,37,83,83,87,99]
[0,0,33,33,37,37,37,37,52,52]
[3,3,3,10,23,23,23,37,37,52]
[0,0,3,52,83,87,87,87,99,99]
[0,3,3,10,23,33,37,87,99,99]
[10,23,52,83,83,83,87,87,99,99]
[3,3,23,33,37,83,83,83,83,87]
[10,23,23,23,33,37,52,52,52,99]
[10,10,23,52,52,52,52,83,99,99]
[0,3,3,3,10,33,33,37,83,87]
[0,10,23,33,33,37,52,52,83,87]
[3,23,23,37,52,52,52,83,87,99]
[0,3,3,23,23,83,87,87,87,99]
[0,0,3,33,33,52,83,87,99,99]
[0,10,23,23,33,33,52,87,87,87]
[0,3,10,23,33,52,52,83,83,87]
[0,3,23,23,23,52,83,87,99,99]
[0,3,10,23,23,33,37,52,87,87]
[10,10,23,23,23,33,52,83,83,87]
[0,3,10,37,37,52,52,83,87,99]
[0,0,3,3,33,37,37,83,87,99]
[3,10,10,10,52,52,83,87,99,99]
