Graph 0
27 59 30 57 38 73 88 22 19 56 80 15 93 84
27, 59
27, 22
27, 80
27, 93
27, 84
59, 30
59, 88
59, 22
59, 80
59, 15
30, 22
30, 80
30, 15
30, 93
30, 84
57, 22
57, 56
38, 56
73, 88
73, 80
73, 84
88, 56
22, 19
22, 80
22, 84
19, 80
19, 15
19, 84
56, 93
56, 84
80, 15
80, 93
Graph 1
57 29 54 9 52 42 92 11 26 35 14 97 93 3 53 61 17 96 78
57, 42
57, 14
57, 93
57, 53
29, 54
29, 52
29, 92
29, 53
29, 96
29, 78
54, 26
54, 97
54, 53
54, 96
54, 78
9, 11
9, 14
9, 97
9, 3
9, 78
52, 42
52, 92
52, 11
52, 97
52, 3
52, 96
42, 35
42, 3
42, 53
92, 53
11, 97
11, 96
11, 78
26, 93
35, 14
35, 93
35, 3
35, 53
35, 78
14, 17
97, 93
97, 3
97, 96
93, 96
3, 96
53, 96
96, 78
Graph 2
46 69 75 8 76 95 39 36 70 37 18 68 50
46, 70
46, 37
69, 8
69, 76
69, 39
69, 36
69, 50
75, 39
75, 70
75, 37
75, 18
75, 68
8, 39
8, 70
8, 18
8, 68
76, 95
76, 39
76, 18
95, 36
95, 70
39, 70
Graph 3
7 99 43 41 91 6 71 74 77 36 65 49 63 66 59 70 53 33
7, 99
7, 91
7, 49
7, 66
7, 70
99, 41
99, 65
99, 53
43, 6
43, 74
43, 77
41, 71
91, 77
91, 65
91, 33
6, 49
6, 70
6, 53
71, 65
71, 53
71, 33
74, 63
74, 59
74, 70
77, 49
77, 66
77, 70
77, 33
36, 49
36, 63
36, 66
36, 70
36, 33
65, 53
49, 63
49, 33
63, 66
63, 59
63, 70
63, 33
66, 70
66, 33
70, 33
Graph 4
3 16 27 45 29 72 47 52 20 53 73 94 37 48 84 82 99 89 83
3, 29
3, 72
3, 94
3, 99
16, 27
16, 45
16, 29
16, 20
16, 53
16, 94
16, 37
16, 83
27, 45
27, 53
27, 37
27, 84
27, 82
45, 29
45, 72
45, 52
45, 89
29, 47
29, 73
29, 94
29, 82
29, 99
72, 47
72, 53
72, 99
72, 83
47, 94
47, 37
47, 89
52, 53
52, 94
52, 82
52, 89
52, 83
20, 48
20, 89
73, 48
73, 84
73, 99
73, 83
94, 84
37, 84
48, 83
84, 99
84, 83
82, 99
Graph 5
94 76 25 58 1 18 93 36 84 54 99 57 15 47 83 33 21
94, 25
94, 1
94, 36
94, 99
94, 33
76, 58
76, 1
76, 99
76, 47
25, 58
25, 18
25, 54
25, 99
25, 15
58, 1
58, 93
58, 36
58, 54
58, 47
58, 33
1, 99
1, 15
18, 93
18, 36
18, 84
18, 54
93, 36
93, 57
93, 33
93, 21
36, 84
36, 54
36, 99
36, 33
84, 99
84, 15
84, 21
54, 33
99, 83
99, 33
15, 21
47, 83
47, 21
83, 33
Graph 6
21 25 36 96 79 76 37 83 75 39 11 27 24 44 86 66 88 3
21, 37
21, 11
21, 86
21, 66
25, 83
25, 39
25, 88
36, 79
36, 76
36, 37
36, 75
36, 44
36, 66
36, 3
96, 37
96, 24
96, 86
96, 66
79, 76
79, 11
79, 86
79, 66
79, 88
79, 3
76, 83
76, 39
76, 24
37, 39
37, 44
37, 66
83, 75
83, 39
83, 24
83, 86
75, 27
39, 86
39, 3
11, 27
27, 3
24, 44
24, 88
24, 3
44, 88
66, 3
Graph 7
69 38 9 88 99 18 80 11 34 74 4 68 10 84 22 75 96
69, 9
69, 68
69, 75
69, 96
38, 9
38, 99
38, 4
38, 96
9, 99
9, 34
9, 74
9, 10
88, 34
88, 22
88, 96
99, 18
99, 11
99, 34
99, 10
99, 84
99, 75
18, 80
18, 11
18, 75
80, 84
80, 75
11, 84
34, 10
34, 75
34, 96
4, 10
4, 84
68, 84
68, 75
10, 22
10, 96
84, 75
84, 96
75, 96
Graph 8
88 85 27 19 25 83 12 67 69 43 30 32 91 21
88, 19
88, 25
85, 12
85, 67
27, 19
27, 69
27, 30
27, 91
27, 21
19, 83
19, 67
19, 43
25, 12
25, 67
25, 30
25, 91
25, 21
83, 67
83, 69
12, 43
12, 30
12, 91
69, 91
43, 30
30, 32
Graph 9
96 67 61 39 59 88 82 45 79 50 21 43 37 17
96, 82
96, 79
67, 39
67, 50
67, 43
61, 59
61, 88
61, 17
39, 88
39, 79
39, 17
59, 82
59, 37
88, 79
88, 50
82, 45
82, 79
82, 21
82, 17
79, 37
79, 17
50, 21
50, 37
50, 17
43, 37
43, 17
Graph 10
97 68 15 86 19 88 56 25 41 50 36 33 37 32 74 42 28 1 17 78
97, 68
97, 25
97, 41
97, 50
97, 37
97, 28
97, 1
68, 15
68, 56
68, 36
68, 33
68, 78
15, 19
